order_id,product_id
2,33120
2,28985
2,9327
2,45918
2,30035
2,17794
2,40141
2,1819
2,43668
3,33754
3,24838
3,17704
3,21903
3,17668
3,46667
3,17461
3,32665
4,46842
4,26434
4,39758
4,27761
4,10054
4,21351
4,22598
4,34862
4,40285
4,17616
4,25146
4,32645
4,41276
5,13176
5,15005
5,47329
5,27966
5,23909
5,48370
5,13245
5,9633
5,27360
5,6348
5,40878
5,6184
5,48002
5,20914
5,37011
5,12962
5,45698
5,24773
5,18569
5,41176
5,48366
5,47209
5,46522
5,38693
5,48825
5,8479
6,40462
6,15873
6,41897
7,34050
7,46802
8,23423
9,21405
9,47890
9,11182
9,2014
9,29193
9,34203
9,14992
9,31506
9,23288
9,44533
9,18362
9,27366
9,432
9,3990
9,14183
10,24852
10,4796
10,31717
10,47766
10,4605
10,1529
10,21137
10,22122
10,34134
10,27156
10,14992
10,49235
10,26842
10,3464
10,25720
11,30162
11,27085
11,5994
11,1313
11,31506
12,30597
12,15221
12,43772
12,37886
12,37215
12,34335
12,3164
12,26910
12,38888
12,38050
12,25213
12,11175
12,23390
12,29471
12,43511
13,17330
13,27407
13,35419
13,196
13,44635
13,26878
13,25783
13,41290
13,33198
13,23020
13,36086
13,3800
13,25952
14,20392
14,27845
14,162
14,2452
14,8575
14,41890
14,39475
14,10096
14,23032
14,20995
14,45066
15,19660
15,21195
15,7461
15,2996
15,32463
16,9755
16,25466
16,45437
18,8021
18,34969
18,1000
18,5212
18,36011
18,44632
18,46969
18,27966
18,38985
18,26648
18,48745
18,7948
18,4802
18,28934
18,2116
18,45495
18,32018
18,27644
18,4656
18,9848
18,17568
18,23339
18,7308
18,35547
18,33279
18,46979
18,47766
18,1057
19,42265
19,24838
19,41540
20,35430
20,47485
20,7419
20,5112
20,33452
20,24852
20,42633
20,27605
21,5009
21,33106
21,4149
21,31478
21,25718
22,23909
22,22754
22,24852
22,28993
22,41273
22,23341
22,46941
22,39993
22,19068
22,21410
22,17341
22,40593
22,46979
22,31268
23,25931
23,35163
23,29662
23,26283
23,47766
23,12036
23,13497
23,44953
23,7969
23,8518
23,18689
23,44299
23,8381
23,32205
24,40078
24,9065
24,46175
25,9755
25,31487
25,37510
25,14576
25,22105
25,1934
25,6383
25,39046
25,48171
25,33506
25,30320
25,15925
25,37449
25,48299
26,35951
26,24852
26,46206
26,25890
26,33120
26,21903
26,40545
26,47766
27,13176
27,30442
27,13646
27,21019
27,38226
27,18479
27,47766
27,17794
27,42701
27,21938
27,5373
27,28849
27,41588
27,3382
27,19478
27,28985
27,49383
27,40604
27,8654
27,2447
27,24489
27,26128
27,15527
27,41950
27,20638
27,27451
27,10243
28,35108
28,40593
28,17461
28,22825
28,25256
28,47626
28,37220
28,12980
28,27548
28,45504
28,18531
28,47209
28,24024
28,38544
28,37288
28,31915
29,43352
29,21386
29,13176
29,8571
29,33768
30,48559
30,1158
30,42944
31,48946
31,22935
31,21903
31,31717
31,4920
31,25647
31,49156
31,29926
31,47900
31,9436
32,12384
32,15991
32,13176
32,20995
32,18362
32,35887
32,49683
32,4920
32,28199
33,5699
33,32740
33,8592
33,1446
33,46313
33,19970
33,49390
33,32981
33,40063
35,28413
35,24532
35,14715
35,16974
35,37980
37,35561
37,33059
37,43721
39,48679
39,4605
39,28204
39,21903
39,8385
40,10070
40,42450
40,33198
40,34866
41,27344
41,27355
42,19887
42,33000
42,13176
43,20915
43,21949
43,8817
43,37867
43,12850
43,21553
43,34005
44,31509
44,27979
44,20955
44,383
44,44384
44,28012
44,27356
44,13966
44,2240
44,17341
45,16349
46,36884
46,48183
46,26172
46,4778
46,34519
46,11983
46,18346
46,21067
46,41602
46,27656
46,17417
46,22282
46,47827
46,32917
46,5077
46,4447
46,3703
46,34233
46,28921
46,15364
47,16797
47,39275
47,43352
47,46041
47,29223
48,14129
48,22298
48,17600
48,6141
48,42169
48,12144
48,11403
48,36929
49,3513
49,39276
49,20307
49,19677
50,397
50,34993
50,17183
50,37788
50,1025
50,4799
50,276
51,30274
51,3594
51,14994
51,45433
51,44514
51,32624
51,604
51,21195
51,4493
52,18963
52,24852
52,39408
52,49683
52,4485
53,24852
53,37646
53,47209
53,36606
53,32442
53,14467
53,40706
53,5876
53,22298
53,38827
53,39275
53,38647
53,47626
53,34448
53,46194
54,10833
54,24852
54,34004
54,35430
54,11121
54,36086
54,32971
55,42736
55,8671
55,17872
55,5876
55,27966
55,13176
55,8251
55,24385
55,30391
55,8518
55,32734
55,11520
55,18234
55,32177
55,40709
55,45123
55,3464
55,41950
55,26940
55,6740
55,38315
55,25800
56,7021
56,4799
56,24964
56,11520
56,9076
56,1376
56,47209
56,21903
56,21910
56,34050
57,21903
57,47231
57,21137
57,43122
57,19057
57,47209
57,48857
58,23375
58,2825
58,22825
58,13176
58,26604
58,42265
59,32549
59,46077
59,12902
60,9934
60,22395
60,36929
60,37110
60,13176
60,37646
60,27966
60,17123
60,38777
60,2298
60,48628
60,781
60,13249
60,22935
60,890
60,17794
60,22963
60,44910
61,42265
61,22507
61,4149
61,29127
61,15541
61,13042
61,20940
61,10473
61,17207
61,38928
61,6184
61,16974
62,10017
62,43394
62,37766
62,26209
62,47766
62,28849
62,20114
63,25886
63,41674
63,9327
63,24203
63,34854
63,34640
63,6046
63,287
63,12508
63,13733
64,17889
64,9292
64,15424
64,18988
64,38959
65,19155
65,1940
65,25170
66,3397
66,21955
66,38689
66,45368
66,7658
66,37102
67,13176
67,11422
67,27514
67,46654
67,47993
67,5438
67,46226
67,25670
68,43739
68,17924
68,31805
68,9387
68,196
68,7768
68,17207
68,1629
68,21288
69,43875
69,27845
69,47049
69,8186
69,34134
69,42345
69,28682
69,36342
69,12341
69,11140
69,23060
70,11067
70,11481
70,44008
70,35824
71,10017
71,12023
71,47209
71,41544
71,5876
71,31553
71,31717
71,26209
71,39389
71,44632
72,28204
72,39108
72,4472
72,43950
72,29228
72,42548
72,20588
72,24852
72,47479
72,38515
72,5514
73,28413
73,24125
73,11759
73,21903
74,46667
74,14129
74,11136
74,27247
74,17902
74,45681
74,7715
74,15392
74,12456
74,14540
74,26369
75,25138
75,2361
75,10915
75,39275
75,21616
75,12341
75,33768
75,40709
75,24889
75,5959
75,43889
75,45646
75,44077
75,21019
75,46383
75,25195
76,31974
76,14159
76,33357
76,38996
76,39844
77,49510
77,36481
77,5120
77,43154
77,24184
77,2295
77,8277
77,34969
77,47626
77,15290
77,2979
77,22935
77,30391
77,23233
77,48057
77,31040
77,38944
77,39619
77,38273
77,36550
77,18079
78,32403
78,12899
78,21573
78,32455
78,16797
79,4210
79,4377
79,39461
79,13627
79,13110
79,12397
79,4840
79,11256
80,10761
80,27845
80,42118
80,24852
80,23734
80,2295
80,26604
81,25931
81,43014
81,24838
81,47209
81,15040
81,22867
81,10385
81,21137
81,39928
81,46394
81,44683
82,35417
82,14117
82,3376
82,20520
82,4421
82,39469
82,16797
82,37646
83,13176
83,1087
83,35503
83,4945
83,40587
83,11574
83,37935
83,43352
83,39561
83,2124
83,13292
83,12023
83,4605
83,10060
84,1463
84,11193
84,34423
84,28842
84,13984
84,42300
84,17594
84,34065
84,18306
85,16797
85,19691
85,32259
85,20217
85,21349
85,33776
85,41611
85,34063
85,42240
86,37634
